site	grid	country	info
ABCAR	SO01200	GB
ABHYD	SN859278	GB
ABNTY	NO19001640	GB
ACKGL	ND34835499	GB
ADARN	ND34835499	GB
AGHAL	G35001300	IR
AGHAS	H61788390	IR
AGHIB	V510999	IR
AGLIS	Q5354	IR
AGWIL	SN46852220	GB
AHLIS	W41004700	IR	
ALTYR	NJ3915537	GB
AMORE	X188773	IR
ANDRS	NX4040220	GB
ANGAP	Q59030	IR
ANSCL	Q5900200	IR
ARBRY	SC24907040	GB
ARDCT	Q8190330	IR
ARDFE	Q78002000	IR
ARDNE	Q5975900960	IR	https://www.logainm.ie/en/22455
ARFYN	SH80003300	GB
ARRAG	Q465142	IR
ATHLO	N4004170	IR
AUQUH	NO82329079	GB
AUTAG	W247580	IR
AYWAG	Q8656000802	IR	https://www.logainm.ie/en/23589
BABOR	W70308320	IR
BAGLN	SS75359228	GB
BAHAN	W580644	IR
BAKIL	N4807190	IR
BAKNK	W943868	IR
BALBA	J3352	IR
BALBO	S52003600	IR
BALBR	Q81002100	IR
BALEE	Q49111	IR
BALGH	S870112	IR
BALIG	Q36657	IR
BARDS	SH12062214	GB
BARHA	W441833	IR
BARM1	SH60001600	GB
BARM2	SH60001700	GB
BAROG	O7891	IR
BAVEL	S53137	IR
BAWGL	R100100	IR
BAYEL	R43003400	IR
BCARE	S932890	IR
BDAFN	SH81108175	GB
BDREN	Q6000300	IR
BENBR	S5549	IR	https://www.logainm.ie/en/27141
BGARR	R74902590	IR
BGLAS	S86008800	IR
BHILL	Q8300200	IR
BIISL	W83007500	IR
BIRSY	HY23902850	GB
BISCV	SX5825358	GB
BLFOO	NR88003000	GB
BLHER	Q6000300	IR
BLHUN	Q61052	IR
BLNIG	Q3705504269	IR	https://www.logainm.ie/en/22747
BLTAG	V463997	IR
BLTER	Q60429	IR
BLVOO	X377980	IR
BLYGH	Q40428	IR
BODFD	SH3647375052	GB	https://historicplacenames.rcahmw.gov.uk/placenames/recordedname/a435dacc-d2b9-4f55-81c0-d6d49ca14ece
BOSKN	SW425259	GB
BOSLW	SW39243303	GB
BOSWR	SW90126343	GB
BOWDN	SX80005800	GB
BQUIN	S421187	IR
BRAGH	Q4200200	IR
BRATT	NJ75992240	GB
BRAW1	SM88202760	GB
BRAW2	SM85762398	GB
BRAW3	SM88402750	GB
BRAW4	SM84602540	GB
BRCKN	Q60016	IR
BREAS	G18303380	IR
BREAY	HU52104230	GB
BRHAM	V420996	IR
BRHGW	M1860489517	IR	https://www.logainm.ie/en/1764
BRHKL	V810920	IR
BRIDE	NX459070	GB
BRIDL	SN17664206	GB
BRMOU	Q4611	IR	https://www.logainm.ie/en/101054
BROD	NH99005840	GB
BRUGH	H39004100	IR
BRYNK	SH48204554	GB
BTOBR	M15407930	IR
BUCKM	SX49006800	GB
BUKIL	W520808	IR
BURGA	W30003600	IR
BURIN	HY76275138	GB
BURNF	W590912	IR
BWEEN	Q35232	IR
